ax,ay,az,accTotal,accChange,label
-0.3730,0.7610,-0.3953,0.9351,0.0259,normal
-0.6470,0.7246,-0.4314,1.0629,0.1277,normal
-0.5498,0.9539,-0.2742,1.1346,0.0717,normal
-0.5583,0.7510,-0.3760,1.0085,0.1261,normal
-0.6135,0.7371,-0.4216,1.0476,0.0391,normal
-0.6624,0.5261,-0.4609,0.9633,0.0843,normal
-0.7346,0.5032,-0.2644,0.9288,0.0345,normal
-0.8757,0.5137,-0.3103,1.0616,0.1328,normal
-0.9512,0.5417,-0.1841,1.1100,0.0484,normal
-0.8875,0.4978,0.0100,1.0176,0.0924,normal
-0.9119,0.5459,0.3010,1.1046,0.0870,normal
-0.8127,0.4958,0.4475,1.0520,0.0526,normal
-0.7969,0.2925,0.6211,1.0518,0.0002,normal
-0.8079,0.0828,0.7161,1.0827,0.0309,normal
-0.5420,-0.2341,0.8376,1.0248,0.0579,normal
-0.5032,-0.3708,0.7119,0.9474,0.0774,normal
-0.3154,-0.5630,0.7852,1.0163,0.0689,normal
-0.3545,-0.6633,0.6851,1.0173,0.0010,normal
-0.3572,-0.6980,0.6301,1.0059,0.0114,normal
-0.2830,-0.6841,0.7881,1.0813,0.0754,normal
-0.3298,-0.6062,0.7363,1.0092,0.0721,normal
-0.2085,-0.5261,0.7832,0.9663,0.0429,normal
0.0020,-0.4961,0.9609,1.0814,0.1152,normal
0.1426,-0.1521,0.7458,0.7744,0.3070,normal
0.4211,-0.1445,0.8484,0.9581,0.1837,normal
0.4719,-0.2971,0.8750,1.0376,0.0795,normal
0.5295,-0.3210,0.6453,0.8943,0.1433,normal
0.4866,-0.4011,0.7852,1.0070,0.1127,normal
0.4404,-0.4299,0.7007,0.9326,0.0744,normal
0.4006,-0.5781,0.7732,1.0453,0.1126,normal
0.1294,-0.6609,0.7986,1.0446,0.0006,normal
0.0662,-0.6782,0.6802,0.9628,0.0818,normal
-0.1199,-0.6033,0.8262,1.0300,0.0672,normal
-0.1743,-0.5085,0.9045,1.0522,0.0223,normal
-0.1165,-0.2656,0.8101,0.8604,0.1918,normal
-0.2080,-0.2649,1.0557,1.1081,0.2477,normal
-0.2131,-0.1909,0.9248,0.9681,0.1400,normal
-0.3809,-0.2395,0.9480,1.0493,0.0813,normal
-0.1682,-0.1736,1.0288,1.0568,0.0075,normal
0.0063,0.1313,1.0388,1.0471,0.0097,normal
0.1965,0.4253,0.9429,1.0529,0.0057,normal
0.0881,0.6638,0.8096,1.0506,0.0022,normal
0.1436,0.7156,0.5369,0.9060,0.1446,normal
0.1531,0.6423,-0.0076,0.6604,0.2457,normal
0.1667,0.8250,0.0176,0.8418,0.1815,normal
-0.0784,1.0669,-0.1287,1.0775,0.2357,normal
-0.3430,0.9934,-0.2861,1.0892,0.0117,normal
-0.2837,0.9556,-0.4346,1.0874,0.0018,normal
-0.4912,0.6697,-0.3069,0.8854,0.2020,normal
-0.7268,0.7068,-0.5217,1.1402,0.2548,normal
-0.7805,0.6260,-0.4404,1.0932,0.0470,normal
-0.9958,0.4375,-0.2849,1.1244,0.0312,normal
-0.4578,0.4021,-0.6296,0.8762,0.2482,normal
-0.7273,0.1301,-0.6638,0.9933,0.1171,normal
-0.6191,0.1155,-0.7161,0.9536,0.0396,normal
-0.7498,0.1919,-0.6870,1.0349,0.0812,normal
-0.9231,0.4146,-0.6001,1.1765,0.1416,normal
-0.8025,0.6338,-0.5117,1.1435,0.0330,normal
-0.5989,0.7800,-0.2703,1.0199,0.1236,normal
-0.6006,0.7725,-0.1067,0.9843,0.0356,normal
-0.4961,0.9177,0.0874,1.0469,0.0626,normal
-0.0747,1.0518,0.3208,1.1021,0.0552,normal
-0.0537,1.0098,0.4995,1.1278,0.0257,normal
0.3271,0.7502,0.7400,1.1034,0.0244,normal
0.4749,0.5332,0.8130,1.0820,0.0214,normal
0.9500,1.0698,0.1926,1.4436,0.3616,normal
0.4468,0.3130,0.8379,0.9998,0.4438,normal
0.3618,0.2317,0.8806,0.9798,0.0200,normal
0.0906,0.0864,0.9673,0.9754,0.0045,normal
0.1533,0.0474,1.0215,1.0340,0.0587,normal
0.4966,0.0210,0.9331,1.0572,0.0232,normal
0.4446,-0.1008,0.9951,1.0946,0.0373,normal
0.4275,-0.0923,1.0708,1.1567,0.0621,normal
0.7205,-0.3298,0.7253,1.0742,0.0824,normal
0.5574,-0.4141,0.6299,0.9375,0.1368,normal
